"Id","Percent","IsHit","ActionName","ActionPosition","Comment"
"56","18","TRUE","Snap Punch","flank","50/90 Unbuffed"
"56","14","TRUE","Snap Punch","flank","50 Buffed"
"56","13","TRUE","Snap Punch","flank","60 buffed, 90 Buffed"
"56","20","TRUE","Snap Punch","flank","60 Unbuffed"
"56","12","TRUE","Snap Punch","flank","90 Buffed"
"66","18","TRUE","Demolish","rear","lv 50"
"66","17","TRUE","Demolish","rear","lv 50"
"66","15","TRUE","Demolish","rear","lv 90"
"66","14","TRUE","Demolish","rear","lv 100"
"79","0","FALSE","Heavy Thrust","flank","lol"
"88","28","TRUE","Chaos Thrust","rear","50 Uncomboed"
"88","61","TRUE","Chaos Thrust","rear","50 Comboed"
"2255","70","TRUE","Aeolian Edge","rear","31 Comboed"
"2255","20","TRUE","Aeolian Edge","rear","90 Uncomboed with Kazematoi"
"2255","30","TRUE","Aeolian Edge","rear","90 Uncomboed no Kazematoi"
"2255","50","TRUE","Aeolian Edge","rear","90 Comboed with Kazematoi"
"2255","63","TRUE","Aeolian Edge","rear","90 Comboed no Kazematoi"
"2255","16","TRUE","Aeolian Edge","rear","100 Uncomboed with Kazematoi"
"2255","23","TRUE","Aeolian Edge","rear","100 Uncomboed no Kazematoi"
"2255","44","TRUE","Aeolian Edge","rear","100 Comboed with Kazematoi"
"2255","54","TRUE","Aeolian Edge","rear","100 Comboed no Kazematoi"
"2258","25","TRUE","Trick Attack","rear",""
"3554","28","TRUE","Fang and Claw","flank","90 Uncomboed"
"3554","66","TRUE","Fang and Claw","flank","90 Comboed"
"3554","22","TRUE","Fang and Claw","flank","100 Uncomboed"
"3554","58","TRUE","Fang and Claw","flank","100 Comboed"
"3556","28","TRUE","Wheeling Thrust","rear","90 Uncomboed"
"3556","66","TRUE","Wheeling Thrust","rear","90 Comboed"
"3556","22","TRUE","Wheeling Thrust","rear","100 Uncomboed"
"3556","58","TRUE","Wheeling Thrust","rear","100 Comboed"
"3563","30","TRUE","Armor Crush","flank","90 Uncomboed"
"3563","65","TRUE","Armor Crush","flank","90 Comboed"
"3563","21","TRUE","Armor Crush","flank","100 Uncomboed"
"3563","54","TRUE","Armor Crush","flank","100 Comboed"
"3563","37","TRUE","Armor Crush","flank","<74 Uncomboed"
"3563","72","TRUE","Armor Crush","flank","<74 Comboed"
"7481","33","TRUE","Gekko","rear","50 Uncomboed"
"7481","72","TRUE","Gekko","rear","50 Comboed"
"7481","31","TRUE","Gekko","rear","90 Uncomboed"
"7481","70","TRUE","Gekko","rear","90 Comboed"
"7481","23","TRUE","Gekko","rear","100 Uncomboed"
"7481","61","TRUE","Gekko","rear","100 Comboed"
"7482","33","TRUE","Kasha","flank","50 Uncomboed"
"7482","72","TRUE","Kasha","flank","50 Comboed"
"7482","31","TRUE","Kasha","flank","90 Uncomboed"
"7482","70","TRUE","Kasha","flank","90 Comboed"
"7482","23","TRUE","Kasha","flank","100 Uncomboed"
"7482","61","TRUE","Kasha","flank","100 Comboed"
"24382","11","TRUE","Gibbet","flank","90 Enhanced"
"24382","13","TRUE","Gibbet","flank","90 Non-enhanced"
"24382","9","TRUE","Gibbet","flank","100 Enhanced"
"24382","10","TRUE","Gibbet","flank","100 Non-enhanced"
"24383","11","TRUE","Gallows","rear","90 Enhanced"
"24383","13","TRUE","Gallows","rear","90 Non-enhanced"
"24383","9","TRUE","Gallows","rear","100 Enhanced"
"24383","10","TRUE","Gallows","rear","100 Non-enhanced"
"25772","28","TRUE","Chaotic Spring","rear","90 Uncomboed"
"25772","66","TRUE","Chaotic Spring","rear","90 Comboed"
"25772","22","TRUE","Chaotic Spring","rear","100 Uncomboed"
"25772","58","TRUE","Chaotic Spring","rear","100 Comboed"
"34610","48","TRUE","Flanksting Strike","flank","100 Enhanced"
"34610","54","TRUE","Flanksting Strike","flank",""
"34610","60","TRUE","Flanksting Strike","flank","100 Non-enhanced"
"34610","70","TRUE","Flanksting Strike","flank",""
"34610","50","TRUE","Flanksting Strike","flank","80 ?"
"34610","63","TRUE","Flanksting Strike","flank","80 ?"
"34611","48","TRUE","Flanksbane Fang","flank","100 Enhanced"
"34611","54","TRUE","Flanksbane Fang","flank",""
"34611","60","TRUE","Flanksbane Fang","flank","100 Non-enhanced"
"34611","70","TRUE","Flanksbane Fang","flank",""
"34611","50","TRUE","Flanksbane Fang","flank","80 ?"
"34611","63","TRUE","Flanksbane Fang","flank","80 ?"
"34612","48","TRUE","Hindsting Strike","rear","100 Enhanced"
"34612","54","TRUE","Hindsting Strike","rear",""
"34612","60","TRUE","Hindsting Strike","rear","100 Non-enhanced"
"34612","70","TRUE","Hindsting Strike","rear",""
"34612","50","TRUE","Hindsting Strike","rear","80 ?"
"34612","63","TRUE","Hindsting Strike","rear","80 ?"
"34613","48","TRUE","Hindsbane Fang","rear","100 Enhanced"
"34613","54","TRUE","Hindsbane Fang","rear",""
"34613","60","TRUE","Hindsbane Fang","rear","100 Non-enhanced"
"34613","70","TRUE","Hindsbane Fang","rear",""
"34613","50","TRUE","Hindsbane Fang","rear","80 ?"
"34613","63","TRUE","Hindsbane Fang","rear","80 ?"
"34621","8","TRUE","Hunter's Coil","flank","lv 90"
"34622","8","TRUE","Swiftskin's Coil","rear","lv 90"
"36947","16","TRUE","Pouncing Coeurl","flank","100 Unbuffed"
"36947","11","TRUE","Pouncing Coeurl","flank","100 Buffed"
"36970","7","TRUE","Executioner's Gibbet","flank",""
"36971","7","TRUE","Executioner's Gallows","rear",""